Date,Time,Elapsed Seconds,Acceleration-X (g),Acceleration-Y (g),Acceleration-Z (g)
5/3/2021,2:11:03 AM,9.80,-0.05,0.31,1.04
5/3/2021,2:11:03 AM,9.90,0.35,0.13,1.05
5/3/2021,2:11:03 AM,10.00,0.18,0.13,1.21
5/3/2021,2:11:03 AM,10.10,0.18,0.18,1.12
5/3/2021,2:11:03 AM,10.20,-0.11,0.21,1.02
5/3/2021,2:11:03 AM,10.30,0.05,0.2,1.02
5/3/2021,2:11:03 AM,10.40,0.06,0.15,0.99
5/3/2021,2:11:03 AM,10.50,0.04,0.24,1
5/3/2021,2:11:03 AM,10.60,0.02,0.13,1.01
5/3/2021,2:11:03 AM,10.70,0,0.09,1
5/3/2021,2:11:04 AM,10.80,0.03,0.06,1
5/3/2021,2:11:04 AM,10.90,0.02,0.05,1
5/3/2021,2:11:04 AM,11.00,0.02,0.03,0.99
5/3/2021,2:11:04 AM,11.10,0.03,0.05,0.99
5/3/2021,2:11:04 AM,11.20,0.02,0.04,1
5/3/2021,2:11:04 AM,11.30,0.02,0.04,1
5/3/2021,2:11:04 AM,11.40,0.02,0.04,0.99
5/3/2021,2:11:04 AM,11.50,0.02,0.04,1
5/3/2021,2:11:04 AM,11.60,0.02,0.04,1
5/3/2021,2:11:04 AM,11.70,0.03,0.04,0.99
5/3/2021,2:11:05 AM,11.80,0.02,0.04,1
5/3/2021,2:11:05 AM,11.90,0.02,0.04,1
5/3/2021,2:11:05 AM,12.00,0.02,0.04,0.99
5/3/2021,2:11:05 AM,12.10,0.02,0.04,1
5/3/2021,2:11:05 AM,12.20,0.02,0.04,0.99
5/3/2021,2:11:05 AM,12.30,0.03,0.04,1
5/3/2021,2:11:05 AM,12.40,0.02,0.04,1
5/3/2021,2:11:05 AM,12.50,0.03,0.04,1
5/3/2021,2:11:05 AM,12.60,0.02,0.04,1
5/3/2021,2:11:05 AM,12.70,0.02,0.04,0.99
5/3/2021,2:11:06 AM,12.80,0.02,0.04,1
5/3/2021,2:11:06 AM,12.90,0.02,0.04,0.99
5/3/2021,2:11:06 AM,13.00,0.02,0.04,0.99
5/3/2021,2:11:06 AM,13.10,0.02,0.04,1
5/3/2021,2:11:06 AM,13.20,0.02,0.04,1
5/3/2021,2:11:06 AM,13.30,0.02,0.04,1
5/3/2021,2:11:06 AM,13.40,0.02,0.04,0.99
5/3/2021,2:11:06 AM,13.50,0.02,0.04,0.99
5/3/2021,2:11:06 AM,13.60,0.02,0.04,1
5/3/2021,2:11:06 AM,13.70,0.02,0.04,0.99
5/3/2021,2:11:07 AM,13.80,0.02,0.04,0.99
5/3/2021,2:11:07 AM,13.90,0.02,0.04,1
5/3/2021,2:11:07 AM,14.00,0.03,0.04,1
5/3/2021,2:11:07 AM,14.10,0.02,0.04,1
5/3/2021,2:11:07 AM,14.20,0.03,0.04,0.99
5/3/2021,2:11:07 AM,14.30,0.02,0.04,0.99
5/3/2021,2:11:07 AM,14.40,0.03,0.04,0.99
